col,present mean,present std,dropped mean,dropped std
0,0.799750,0.001968,0.799464,0.002103
1,0.799611,0.002032,0.800138,0.001740
2,0.799736,0.001894,0.799566,0.002291
3,0.799649,0.001954,0.799880,0.002154
4,0.799710,0.002059,0.799605,0.001565
5,0.799632,0.002036,0.800086,0.001691
6,0.799742,0.001920,0.799388,0.002435
7,0.799728,0.002141,0.799582,0.001367
8,0.799707,0.001953,0.799665,0.002110
9,0.799452,0.002050,0.800612,0.001459
10,0.799610,0.002115,0.800039,0.001385
11,0.799825,0.002042,0.799328,0.001816
12,0.799794,0.002116,0.799382,0.001524
13,0.799521,0.002014,0.800280,0.001823
14,0.799804,0.002054,0.799387,0.001795
15,0.799701,0.002062,0.799667,0.001646
16,0.799588,0.002106,0.800152,0.001357
17,0.799813,0.001800,0.799303,0.002510
18,0.799793,0.002151,0.799433,0.001478
19,0.799728,0.001901,0.799556,0.002363
20,0.799576,0.002075,0.800175,0.001564
21,0.799767,0.001808,0.799468,0.002493
22,0.799621,0.001983,0.800058,0.002029
23,0.799729,0.001961,0.799520,0.002172
24,0.799475,0.001982,0.800634,0.001780
25,0.799743,0.002038,0.799479,0.001789
26,0.799752,0.001961,0.799507,0.002105
27,0.799644,0.002016,0.799931,0.001896
28,0.799758,0.001908,0.799430,0.002323
29,0.799615,0.002055,0.800187,0.001515
30,0.799713,0.001931,0.799630,0.002230
31,0.800002,0.001793,0.798725,0.002282
32,0.799574,0.002075,0.800153,0.001594
33,0.799800,0.001816,0.799324,0.002504
34,0.799632,0.001994,0.800057,0.001979
35,0.799671,0.002030,0.799806,0.001839
36,0.799732,0.001946,0.799587,0.002142
37,0.799612,0.002122,0.800075,0.001216
38,0.799738,0.001960,0.799500,0.002152
39,0.799737,0.002018,0.799564,0.001925
40,0.799684,0.001940,0.799744,0.002229
41,0.799876,0.002044,0.798972,0.001610
42,0.799855,0.001902,0.798968,0.002246
43,0.799641,0.002081,0.799944,0.001538
44,0.799717,0.002078,0.799614,0.001661
45,0.799864,0.001853,0.799061,0.002364
46,0.799667,0.001892,0.799790,0.002314
47,0.799615,0.002124,0.800000,0.001385
48,0.799596,0.002099,0.800259,0.001132
49,0.799767,0.002004,0.799322,0.001922
50,0.799604,0.002062,0.800175,0.001530
51,0.799700,0.001780,0.799684,0.002494
52,0.799581,0.002011,0.800461,0.001726
53,0.799599,0.002079,0.800039,0.001635
54,0.799766,0.002074,0.799350,0.001527
55,0.799685,0.002035,0.799742,0.001831
56,0.799603,0.001937,0.800116,0.002208
57,0.799643,0.002169,0.799918,0.000939
58,0.799638,0.002077,0.799913,0.001649
59,0.799683,0.001860,0.799723,0.002262
60,0.799698,0.001979,0.799679,0.002122
61,0.799662,0.002041,0.799807,0.001843
62,0.799838,0.001880,0.798890,0.002414
63,0.799761,0.002075,0.799448,0.001653
64,0.799734,0.002092,0.799522,0.001481
65,0.799740,0.002017,0.799519,0.001908
66,0.799837,0.001959,0.799331,0.002051
67,0.799806,0.001814,0.799019,0.002786
68,0.799683,0.001970,0.799766,0.002150
69,0.799508,0.002139,0.800444,0.000982
70,0.799717,0.002221,0.799636,0.001144
71,0.799632,0.002014,0.799886,0.001935
72,0.799608,0.002003,0.800096,0.001925
73,0.799668,0.002115,0.799831,0.001275
74,0.799775,0.001874,0.799413,0.002365
75,0.799430,0.002032,0.800827,0.001352
76,0.799696,0.001904,0.799695,0.002256
77,0.799608,0.002012,0.800070,0.001892
78,0.799715,0.002081,0.799647,0.001765
79,0.799617,0.002076,0.799958,0.001685
80,0.799674,0.001906,0.799806,0.002419
81,0.799631,0.002068,0.800124,0.001367
82,0.799761,0.002015,0.799415,0.001899
83,0.799658,0.001826,0.799829,0.002510
84,0.799875,0.001934,0.798679,0.002051
85,0.799631,0.001948,0.799989,0.002186
86,0.799895,0.001890,0.799063,0.002190
87,0.799500,0.002060,0.800281,0.001666
88,0.799702,0.001827,0.799674,0.002462
89,0.799691,0.002111,0.799713,0.001419
90,0.799766,0.001771,0.799430,0.002667
91,0.799637,0.002070,0.799944,0.001633
92,0.799584,0.002077,0.800241,0.001437
93,0.799702,0.001949,0.799674,0.002146
94,0.799570,0.002099,0.800231,0.001367
95,0.799698,0.001954,0.799688,0.002145
96,0.799724,0.002043,0.799599,0.001835
97,0.799604,0.002098,0.800062,0.001479
98,0.799622,0.002069,0.800029,0.001590
99,0.799782,0.002009,0.799326,0.001907
100,0.799673,0.001940,0.799787,0.002213
101,0.799654,0.002078,0.799885,0.001568
102,0.799847,0.001891,0.799264,0.002218
103,0.799640,0.002127,0.799931,0.001289
104,0.799622,0.002086,0.800009,0.001528
105,0.799628,0.001943,0.800004,0.002204
106,0.799665,0.001851,0.799803,0.002444
107,0.799723,0.002073,0.799492,0.001309
108,0.799766,0.001928,0.799412,0.002234
109,0.799695,0.002051,0.799700,0.001635
110,0.799599,0.001860,0.800020,0.002375
111,0.799822,0.002051,0.799031,0.001530
112,0.799602,0.002085,0.800046,0.001580
113,0.799579,0.002073,0.800310,0.001389
114,0.799504,0.002113,0.800376,0.001312
115,0.799740,0.001795,0.799506,0.002687
116,0.799600,0.002101,0.800236,0.001123
117,0.799839,0.001935,0.798944,0.002150
118,0.799657,0.002033,0.799849,0.001844
119,0.799544,0.002108,0.800202,0.001462
120,0.799470,0.002061,0.800795,0.001132
121,0.799781,0.001952,0.799277,0.002159
122,0.799875,0.001704,0.799096,0.002677
123,0.799629,0.001994,0.799894,0.001995
124,0.799831,0.002023,0.798985,0.001692
125,0.799691,0.001861,0.799712,0.002470
126,0.799894,0.001970,0.799159,0.001975
127,0.799583,0.002113,0.800332,0.000909
128,0.799806,0.001767,0.799380,0.002516
129,0.799704,0.002090,0.799659,0.001508
130,0.799860,0.001790,0.799037,0.002569
131,0.799582,0.002080,0.800180,0.001505
132,0.799755,0.001950,0.799441,0.002170
133,0.799807,0.001981,0.799276,0.002004
134,0.799849,0.001828,0.798995,0.002521
135,0.799689,0.001856,0.799723,0.002514
136,0.799704,0.002093,0.799652,0.001444
137,0.799772,0.001986,0.799423,0.002015
138,0.799673,0.002076,0.799878,0.001180
139,0.799631,0.001977,0.799972,0.002061
140,0.799612,0.002092,0.799911,0.001714
141,0.799860,0.001919,0.799036,0.002163
142,0.799585,0.001977,0.800199,0.002013
143,0.799695,0.002048,0.799701,0.001708
144,0.799819,0.001973,0.798996,0.001992
145,0.799706,0.002077,0.799661,0.001705
146,0.799541,0.002096,0.800314,0.001383
147,0.799592,0.001953,0.800202,0.002134
148,0.799578,0.002086,0.800198,0.001463
149,0.799821,0.002019,0.799224,0.001840
150,0.799610,0.002069,0.800220,0.001378
151,0.799848,0.001652,0.799154,0.002844
152,0.799903,0.001780,0.798812,0.002558
153,0.799661,0.001859,0.799827,0.002446
154,0.799582,0.002153,0.800098,0.001225
155,0.799777,0.001854,0.799463,0.002344
156,0.799797,0.001871,0.799161,0.002497
157,0.799663,0.002048,0.799818,0.001793
158,0.799698,0.001918,0.799689,0.002199
159,0.799500,0.002068,0.800251,0.001661
160,0.799606,0.002098,0.800103,0.001388
161,0.799775,0.002070,0.799413,0.001686
162,0.799637,0.001984,0.799982,0.002042
163,0.799797,0.001962,0.799235,0.002092
164,0.799516,0.002068,0.800573,0.001293
165,0.799687,0.002092,0.799720,0.001718
166,0.799673,0.002117,0.799768,0.001561
167,0.799633,0.002106,0.799893,0.001592
168,0.799849,0.002048,0.798998,0.001574
169,0.799669,0.002187,0.799766,0.001360
170,0.799753,0.001903,0.799502,0.002277
171,0.799488,0.001916,0.800158,0.002096
172,0.799481,0.002012,0.800744,0.001547
173,0.799754,0.001953,0.799519,0.002117
174,0.799629,0.002153,0.799895,0.001415
175,0.799700,0.001960,0.799668,0.002236
176,0.799656,0.002135,0.799875,0.001168
177,0.799660,0.002035,0.799808,0.001871
178,0.799680,0.002067,0.799756,0.001691
179,0.799691,0.002059,0.799716,0.001691
180,0.799807,0.002096,0.799394,0.001668
181,0.799761,0.001972,0.799433,0.002077
182,0.799602,0.002042,0.800269,0.001588
183,0.799649,0.002114,0.799851,0.001536
184,0.799591,0.002162,0.800089,0.001110
185,0.799895,0.001940,0.798897,0.002026
186,0.799658,0.002143,0.799814,0.001438
187,0.799677,0.002126,0.799744,0.001622
188,0.799660,0.002100,0.799868,0.001379
189,0.799573,0.002038,0.800513,0.001460
190,0.799688,0.001984,0.799721,0.002045
191,0.799556,0.002078,0.800375,0.001354
192,0.799737,0.002051,0.799476,0.001678
193,0.799616,0.002112,0.800015,0.001408
194,0.799792,0.001950,0.799283,0.002143
195,0.799871,0.001923,0.799139,0.002123
196,0.799624,0.002014,0.799879,0.001943
197,0.799932,0.001649,0.798856,0.002757
198,0.799545,0.002006,0.800228,0.001874
199,0.799607,0.002007,0.799892,0.001964
200,0.799843,0.001953,0.799022,0.002062
201,0.799687,0.001946,0.799722,0.002153
202,0.799735,0.001984,0.799517,0.002049
203,0.799714,0.002044,0.799599,0.001731
204,0.799745,0.002073,0.799510,0.001670
205,0.799657,0.001993,0.799954,0.002011
206,0.799646,0.001985,0.799938,0.002041
207,0.799670,0.002060,0.799838,0.001594
208,0.799544,0.002068,0.800176,0.001669
209,0.799707,0.001963,0.799632,0.002186
210,0.799818,0.001791,0.799139,0.002679
211,0.799812,0.002032,0.799167,0.001740
212,0.799683,0.002062,0.799783,0.001499
213,0.799787,0.001916,0.799251,0.002305
214,0.799559,0.002031,0.800698,0.001365
215,0.799558,0.002122,0.800246,0.001253
216,0.799678,0.001879,0.799760,0.002391
217,0.799614,0.002161,0.799985,0.001217
218,0.799846,0.001925,0.799163,0.002155
219,0.799862,0.001866,0.798937,0.002369
220,0.799820,0.001917,0.799390,0.002154
221,0.799556,0.002048,0.800164,0.001742
222,0.799774,0.002129,0.799433,0.001444
223,0.799610,0.002079,0.799927,0.001739
224,0.799812,0.002001,0.799281,0.001930
225,0.799726,0.001930,0.799549,0.002294
226,0.799679,0.002011,0.799800,0.001910
227,0.799628,0.002138,0.799908,0.001447
228,0.799716,0.002017,0.799607,0.001912
229,0.799709,0.001888,0.799619,0.002532
230,0.799598,0.001899,0.800245,0.002411
231,0.799824,0.002009,0.799241,0.001891
232,0.799676,0.001960,0.799785,0.002161
233,0.799473,0.001838,0.800401,0.002296
234,0.799733,0.002040,0.799481,0.001724
235,0.799771,0.001816,0.799393,0.002580
236,0.799894,0.001843,0.798948,0.002350
237,0.799749,0.002080,0.799453,0.001549
238,0.799768,0.001787,0.799365,0.002737
239,0.799628,0.002127,0.799911,0.001499
240,0.799566,0.002027,0.801003,0.000972
241,0.799639,0.002074,0.800013,0.001452
242,0.799368,0.002126,0.800539,0.001284
243,0.799830,0.001774,0.799159,0.002646
244,0.799698,0.002014,0.799687,0.001936
245,0.799682,0.001879,0.799754,0.002440
246,0.799655,0.002005,0.799894,0.001952
247,0.799734,0.001952,0.799509,0.002198
248,0.799627,0.001999,0.799987,0.001967
249,0.799649,0.002005,0.800074,0.001900
250,0.799828,0.001781,0.799132,0.002663
251,0.799690,0.002057,0.799719,0.001742
252,0.799587,0.001986,0.800059,0.001994
253,0.799426,0.001959,0.800357,0.001937
254,0.799716,0.002003,0.799577,0.001963
255,0.799706,0.002103,0.799652,0.001465
256,0.799569,0.002074,0.800473,0.001175
257,0.799894,0.001931,0.798901,0.002061
258,0.799794,0.001978,0.799324,0.002027
259,0.799639,0.002120,0.799990,0.001118
260,0.799642,0.002034,0.799873,0.001861
261,0.799861,0.001744,0.799247,0.002508
262,0.799860,0.001991,0.799076,0.001902
263,0.799595,0.002020,0.800074,0.001863
264,0.799700,0.002042,0.799677,0.001797
265,0.799644,0.001877,0.799902,0.002410
266,0.799773,0.001923,0.799421,0.002220
267,0.799639,0.001873,0.799883,0.002359
268,0.799486,0.002113,0.800397,0.001327
269,0.799725,0.001799,0.799531,0.002870
270,0.799602,0.002002,0.800185,0.001900
271,0.799670,0.002016,0.799752,0.001956
272,0.799651,0.001962,0.799930,0.002163
273,0.799678,0.002103,0.799777,0.001418
274,0.799810,0.001935,0.799209,0.002179
275,0.799626,0.002065,0.800088,0.001508
276,0.799838,0.002067,0.799218,0.001662
277,0.799598,0.002117,0.800113,0.001296
278,0.799690,0.001915,0.799719,0.002319
279,0.799970,0.001870,0.798825,0.002137
280,0.799473,0.002035,0.800864,0.001258
281,0.799813,0.001907,0.799195,0.002279
282,0.799929,0.001795,0.798816,0.002432
283,0.799607,0.001971,0.800028,0.002061
284,0.799711,0.002013,0.799603,0.001901
285,0.799776,0.002026,0.799331,0.001821
286,0.799736,0.001985,0.799582,0.002029
287,0.799854,0.001874,0.798861,0.002385
288,0.799753,0.002034,0.799452,0.001817
289,0.799743,0.001912,0.799479,0.002335
290,0.799555,0.002017,0.800335,0.001771
291,0.799728,0.001974,0.799434,0.002164
292,0.799680,0.001943,0.799729,0.002109
293,0.799715,0.001898,0.799608,0.002400
294,0.799520,0.001902,0.800691,0.002226
295,0.799705,0.001987,0.799643,0.002055
296,0.799691,0.002044,0.799723,0.001713
297,0.799622,0.002130,0.799991,0.001306
298,0.799819,0.001936,0.799201,0.002157
299,0.799576,0.002047,0.800176,0.001707
300,0.799980,0.001638,0.798927,0.002591
301,0.799643,0.001806,0.799892,0.002585
302,0.799681,0.001959,0.799739,0.002109
303,0.799719,0.002084,0.799587,0.001539
304,0.799790,0.001915,0.799198,0.002325
305,0.799674,0.001854,0.799778,0.002463
306,0.799648,0.001879,0.799928,0.002484
307,0.799733,0.002019,0.799512,0.001883
308,0.799758,0.001930,0.799462,0.002218
309,0.799733,0.001971,0.799464,0.002139
310,0.799656,0.002090,0.799844,0.001595
311,0.799745,0.002091,0.799436,0.001383
312,0.799643,0.001988,0.799919,0.002026
313,0.799609,0.002022,0.800274,0.001722
314,0.799630,0.002038,0.799977,0.001792
315,0.799771,0.002068,0.799394,0.001654
316,0.799682,0.002049,0.799760,0.001726
317,0.799750,0.001927,0.799492,0.002234
318,0.799638,0.001910,0.799887,0.002256
319,0.799734,0.002045,0.799533,0.001772
320,0.799787,0.001970,0.799307,0.002066
321,0.799806,0.001901,0.798957,0.002426
322,0.799777,0.001897,0.799423,0.002282
323,0.799711,0.002063,0.799616,0.001612
324,0.799723,0.002055,0.799563,0.001682
325,0.799686,0.002059,0.799727,0.001790
326,0.799836,0.001909,0.799009,0.002263
327,0.799839,0.001888,0.799264,0.002240
328,0.799683,0.001889,0.799731,0.002279
329,0.799759,0.002116,0.799496,0.001547
330,0.799809,0.001944,0.799211,0.002148
331,0.799710,0.002083,0.799636,0.001610
